"игрок прыгает по платформам и избегает препятствий","platformer"
"персонаж проходит уровни с движущимися платформами","platformer"
"нужно добраться до конца уровня через ловушки","platformer"
"герой собирает монеты и прыгает через пропасти","platformer"
"игра про бег и прыжки по платформам","platformer"
"персонаж преодолевает препятствия на пути","platformer"
"есть платформы, шипы и враги на уровне","platformer"
"нужно пройти сложную карту с прыжками","platformer"
"герой исследует уровни и собирает предметы","platformer"
"платформер с несколькими уровнями сложности","platformer"
"игрок управляет героем который прыгает","platformer"
"создать игру с платформами и ловушками","platformer"
"нужно перепрыгивать препятствия","platformer"
"герой движется вперед и прыгает через препятствия","platformer"
"уровень состоит из платформ и опасностей","platformer"

"игрок сражается с врагами используя оружие","battle"
"создать игру где герой побеждает противников","battle"
"персонаж атакует врагов на арене","battle"
"битва между героем и монстрами","battle"
"нужно уничтожать врагов и проходить уровни","battle"
"игрок управляет воином который сражается","battle"
"создать боевую игру с противниками","battle"
"герой дерется с врагами в каждом раунде","battle"
"есть боссы и обычные противники","battle"
"игра про сражения и победу над врагами","battle"
"персонаж использует способности в бою","battle"
"нужно атаковать врагов чтобы победить","battle"
"арена с врагами и битвами","battle"
"герой защищается от волн противников","battle"
"создать игру про сражения мечом","battle"

"игрок выращивает растения и продает товары","farm_shop"
"создать ферму с магазином","farm_shop"
"нужно собирать урожай и получать деньги","farm_shop"
"игрок управляет своим магазином","farm_shop"
"развитие фермы и продажа ресурсов","farm_shop"
"персонаж выращивает овощи и продает их","farm_shop"
"создать экономическую игру с магазином","farm_shop"
"игрок покупает улучшения для фермы","farm_shop"
"есть магазин где можно продавать предметы","farm_shop"
"нужно развивать хозяйство","farm_shop"
"ферма с животными и торговлей","farm_shop"
"игрок создает свой бизнес","farm_shop"
"собирать ресурсы и продавать их покупателям","farm_shop"
"управление магазином и доходами","farm_shop"
"игра про ферму и экономику","farm_shop"
"игрок прыгает по платформам и проходит уровни","platformer"
"герой преодолевает препятствия на карте","platformer"
"нужно прыгать через шипы и ловушки","platformer"
"персонаж собирает монеты на платформах","platformer"
"создать игру с прыжками и уровнями","platformer"
"герой бежит вперед и избегает препятствий","platformer"
"платформы двигаются и нужно правильно прыгать","platformer"
"игра состоит из сложных платформенных уровней","platformer"
"персонаж должен добраться до конца карты","platformer"
"есть платформы враги и препятствия","platformer"
"игрок управляет героем который прыгает","platformer"
"создать 2d платформер с ловушками","platformer"
"нужно проходить уровни с препятствиями","platformer"
"герой перепрыгивает пропасти и собирает предметы","platformer"
"игра про паркур и прыжки","platformer"
"персонаж движется по платформам вверх","platformer"
"нужно исследовать уровни с платформами","platformer"
"создать игру как mario с прыжками","platformer"
"герой избегает шипов и падающих объектов","platformer"
"платформенный уровень с таймером","platformer"
"игрок проходит разные этапы сложности","platformer"
"есть движущиеся платформы и опасности","platformer"
"герой прыгает между островами","platformer"
"создать приключение на платформах","platformer"
"персонаж собирает ключи и открывает двери","platformer"
"нужно пройти лабиринт с платформами","platformer"
"игрок управляет маленьким героем на уровне","platformer"
"уровень наполнен препятствиями","platformer"
"герой должен допрыгнуть до финиша","platformer"
"создать игру с прыжками через препятствия","platformer"
"персонаж бегает по платформам","platformer"
"игрок избегает ловушек и собирает монеты","platformer"
"есть уровни с разной сложностью","platformer"
"создать классический платформер","platformer"
"герой перемещается между платформами","platformer"
"игра где нужно прыгать и выживать","platformer"
"персонаж проходит опасные уровни","platformer"
"нужно управлять прыжками героя","platformer"
"игра с вертикальным подъемом по платформам","platformer"
"герой карабкается вверх используя платформы","platformer"
"создать платформер с врагами","platformer"
"игрок проходит карту с препятствиями","platformer"
"есть колючки и движущиеся объекты","platformer"
"персонаж должен избегать опасностей","platformer"
"игра на реакцию и точные прыжки","platformer"
"уровни состоят из блоков и платформ","platformer"
"герой собирает кристаллы на пути","platformer"
"создать игру где нужно дойти до выхода","platformer"
"персонаж прыгает по блокам","platformer"
"платформы находятся на разных высотах","platformer"
"игрок исследует мир через уровни","platformer"
"герой преодолевает препятствия ради цели","platformer"
"создать сложный уровень с ловушками","platformer"
"есть секретные места на карте","platformer"
"игра требует ловкости и прыжков","platformer"
"герой должен пройти испытания","platformer"
"персонаж собирает монеты во время прохождения","platformer"
"создать платформенную игру с таймером","platformer"
"уровень содержит шипы и платформы","platformer"
"игрок прыгает через пропасти","platformer"
"герой движется по 2d миру","platformer"
"создать игру с несколькими этапами","platformer"
"прохождение уровней с препятствиями","platformer"
"персонаж использует прыжок для движения","platformer"
"игрок должен найти выход из уровня","platformer"
"герой проходит испытания на скорость","platformer"
"создать игру про бегущего персонажа","platformer"
"есть платформы которые исчезают","platformer"
"игрок избегает падения вниз","platformer"
"персонаж прыгает между стенами","platformer"
"создать уровень с большим количеством платформ","platformer"
"герой собирает бонусы на карте","platformer"
"нужно пройти препятствия до конца","platformer"
"игра напоминает tap tap dash","platformer"
"персонаж движется автоматически вперед","platformer"
"создать раннер с платформами","platformer"
"герой прыгает через различные объекты","platformer"
"игрок управляет движением персонажа","platformer"
"есть сложные прыжковые испытания","platformer"
"персонаж исследует платформенный мир","platformer"
"создать приключение с уровнями","platformer"
"игрок проходит карту шаг за шагом","platformer"
"герой избегает врагов и ловушек","platformer"
"платформы помогают добраться до цели","platformer"
"создать игру с физическими платформами","platformer"
"персонаж падает если ошибается","platformer"
"игрок должен рассчитывать прыжки","platformer"
"есть контрольные точки на уровнях","platformer"
"герой преодолевает длинный путь","platformer"
"создать сложный платформенный режим","platformer"
"игра где нужно прыгать выше","platformer"
"персонаж собирает звезды на уровне","platformer"
"игрок избегает препятствий на скорости","platformer"
"создать 2d игру с платформами","platformer"
"герой проходит путь через опасности","platformer"
"есть уровни от легкого до сложного","platformer"
"игрок достигает финальной точки карты","platformer"
"создать приключенческий платформер","platformer"
"игрок сражается с врагами на арене","battle"
"герой атакует противников оружием","battle"
"создать игру про битвы и сражения","battle"
"персонаж побеждает монстров","battle"
"игрок управляет воином в бою","battle"
"нужно уничтожить всех врагов на уровне","battle"
"герой использует меч для атаки","battle"
"создать боевую игру с противниками","battle"
"персонаж защищается от волн врагов","battle"
"игра про сражения между героями","battle"
"есть боссы которых нужно победить","battle"
"игрок сражается с сильными противниками","battle"
"герой использует способности в бою","battle"
"создать игру с битвами и оружием","battle"
"персонаж атакует врагов на карте","battle"
"нужно победить всех соперников","battle"
"игра где главный герой воюет","battle"
"создать экшен игру с боями","battle"
"герой сражается против монстров","battle"
"игрок управляет бойцом","battle"
"есть разные виды оружия","battle"
"персонаж наносит урон врагам","battle"
"создать арену для сражений","battle"
"игрок проходит боевые уровни","battle"
"герой должен уничтожать противников","battle"
"битва с врагами в каждом раунде","battle"
"создать игру про воинов","battle"
"персонаж сражается с армией врагов","battle"
"игрок атакует и защищается","battle"
"есть враги и главный босс","battle"
"герой проходит испытания через бои","battle"
"игра основана на сражениях","battle"
"создать боевую систему для персонажа","battle"
"игрок выбирает оружие перед боем","battle"
"герой сражается на арене","battle"
"нужно победить противников чтобы пройти дальше","battle"
"есть враги которые нападают на героя","battle"
"персонаж защищает свою территорию","battle"
"игра про войну между персонажами","battle"
"создать игру с битвами один на один","battle"
"герой атакует монстров в подземелье","battle"
"игрок управляет рыцарем в бою","battle"
"есть магические атаки и враги","battle"
"персонаж сражается используя способности","battle"
"создать игру где нужно побеждать врагов","battle"
"игрок проходит боевые миссии","battle"
"герой уничтожает противников на пути","battle"
"битвы становятся сложнее с каждым уровнем","battle"
"есть разные противники и боссы","battle"
"создать экшен с врагами","battle"
"игрок дерется с противниками","battle"
"герой атакует врагов в реальном времени","battle"
"нужно очистить карту от врагов","battle"
"персонаж участвует в сражениях","battle"
"игра с боевой механикой","battle"
"создать игру про бойцов","battle"
"герой использует заклинания против врагов","battle"
"игрок сражается на разных аренах","battle"
"есть здоровье персонажа и врагов","battle"
"персонаж получает урон в бою","battle"
"создать игру с системой боя","battle"
"герой побеждает волну противников","battle"
"игрок сражается с существами","battle"
"есть враги которых нужно атаковать","battle"
"персонаж защищает базу от врагов","battle"
"создать защитную игру с боями","battle"
"игрок управляет героем в битве","battle"
"герой сражается против злодеев","battle"
"есть уровень с большим количеством врагов","battle"
"персонаж использует оружие для победы","battle"
"создать игру про сражения мечами","battle"
"игрок побеждает врагов ради награды","battle"
"герой сражается в турнире","battle"
"есть противники с разной силой","battle"
"создать боевой платформер с врагами","battle"
"игрок атакует монстров","battle"
"персонаж участвует в эпической битве","battle"
"есть финальный босс","battle"
"герой должен выжить среди врагов","battle"
"создать игру про выживание в бою","battle"
"игрок использует навыки против соперников","battle"
"персонаж сражается на поле боя","battle"
"есть система побед и поражений","battle"
"создать игру где нужно уничтожать врагов","battle"
"герой защищает мир от противников","battle"
"игрок сражается с армией монстров","battle"
"персонаж атакует врагов один за другим","battle"
"есть битвы между командами","battle"
"создать стратегию с боевыми элементами","battle"
"игрок управляет солдатом","battle"
"герой участвует в боях","battle"
"есть оружие броня и враги","battle"
"персонаж сражается ради победы","battle"
"создать динамичный боевой уровень","battle"
"игрок побеждает противников на карте","battle"
"герой атакует врагов в подземельях","battle"
"есть монстры которых нужно уничтожить","battle"
"создать игру с множеством сражений","battle"
"персонаж сражается с боссами","battle"
"игрок проходит уровни через победы в боях","battle"
"герой использует силу против врагов","battle"
"создать приключение с боевыми сценами","battle"
"игрок участвует в битве за территорию","battle"